Id,Trap,Latitude,Longitude
1,T002,41.95469,-87.800991
9,T007,41.994991,-87.769279
17,T015,41.974089,-87.824812
25,T045,41.9216,-87.666455
33,T046,41.891118,-87.65449100000001
41,T048,41.867108,-87.654224
49,T049,41.896282,-87.655232
57,T050,41.919343,-87.694259
65,T054,41.921965,-87.632085
73,T086,41.688324,-87.676709
81,T091,41.862292,-87.64886
89,T094,41.720848,-87.666014
97,T096,41.731922,-87.677512
105,T129,41.891126,-87.61156
113,T143,41.999128999999996,-87.795585
121,T148,42.01743,-87.68776899999999
129,T153,41.907645,-87.760886
137,T159,41.732984,-87.649642
145,T009,41.981964000000005,-87.812827
153,T011,41.944869,-87.832763
161,T016,42.011601,-87.81150600000001
169,T019,41.94983,-87.69845699999999
177,T025,41.979243,-87.750938
185,T028,41.986921,-87.689778
193,T031,41.801497999999995,-87.763416
201,T033,41.906638,-87.701431
209,T089,41.723195000000004,-87.64997
217,T090,41.868077,-87.666901
225,T092,41.869215999999994,-87.627561
233,T135,41.662014,-87.72460799999999
241,T141,41.961743,-87.76007
249,T142,41.953067,-87.776792
257,T145,41.878114000000004,-87.629798
265,T146,41.958271,-87.702575
273,T147,41.932094,-87.700117
281,T149,41.994469,-87.667736
289,T150,42.006858,-87.675919
297,T151,41.916265,-87.800515
305,T152,41.846075,-87.716277
313,T154,41.918704999999996,-87.752329
321,T158,41.682587,-87.707973
329,T162,41.725516999999996,-87.61425799999999
337,T218,41.948167,-87.730698
345,T220,41.963976,-87.69181
353,T001,41.953705,-87.733974
361,T003,41.964242,-87.757639
369,T006,41.990284,-87.797127
377,T008,42.008314,-87.77792099999999
385,T012,41.991429,-87.747113
393,T034,41.843810999999995,-87.686763
401,T037,41.921177,-87.79518
409,T040,41.852652,-87.719887
417,T043,41.857402,-87.694991
425,T047,41.868142,-87.696269
433,T051,41.846283,-87.656913
441,T085,41.721474,-87.648064
449,T088,41.869107,-87.69629300000001
457,T161,41.719059,-87.675088
465,T219,41.966986999999996,-87.674677
473,T013,41.923738,-87.785288
481,T014,41.970248,-87.787992
489,T018,42.010412,-87.66214000000001
497,T030,41.899229999999996,-87.716788
505,T084,41.692555,-87.598865
513,T144,41.94016,-87.794896
521,T160,41.903002,-87.68826700000001
529,T005,41.942114000000004,-87.776385
537,T017,41.960615999999995,-87.777189
545,T044,41.883284,-87.705085
553,T095,41.704336,-87.70373599999999
561,T004,41.962728000000006,-87.748367
569,T035,41.836644,-87.677737
577,T036,41.837084999999995,-87.729384
585,T039,41.911823999999996,-87.726737
593,T060,41.823065,-87.67837800000001
601,T061,41.801179,-87.679447
609,T062,41.800737,-87.71188000000001
617,T065,41.778296999999995,-87.752411
625,T066,41.77166,-87.703047
633,T067,41.759346,-87.745602
641,T069,41.768388,-87.678649
649,T070,41.797616,-87.797894
657,T071,41.781416,-87.77653199999999
665,T073,41.773215,-87.60088
673,T074,41.822536,-87.66634300000001
681,T075,41.799282,-87.585487
689,T076,41.794781,-87.615989
697,T077,41.778748,-87.586427
705,T079,41.766202,-87.562889
713,T080,41.754676,-87.612922
721,T081,41.821582,-87.62779599999999
729,T082,41.803422999999995,-87.642984
737,T083,41.754292,-87.590773
745,T114,41.798697,-87.736812
753,T155,41.776156,-87.778927
761,T063,41.82561,-87.726549
769,T115,41.673408,-87.599862
777,T138,41.726465000000005,-87.585413
785,T200,41.678618,-87.559308
793,T206,41.737052,-87.54306700000001
801,T209,41.740641,-87.546587
809,T212,41.680946,-87.535198
817,T215,41.686398,-87.531635
825,T107,41.729669,-87.582699
833,T128,41.704572,-87.56566600000001
841,T072,41.74785,-87.70271600000001
849,T078,41.775051,-87.65535600000001
857,T097,41.644612,-87.60449799999999
865,T099,41.733643,-87.55551
873,T100,41.717753,-87.531657
881,T102,41.750498,-87.605294
889,T103,41.702723999999996,-87.536497
897,T027,41.984809000000006,-87.728492
905,T156,41.772846,-87.740029
913,T157,41.825902,-87.667827
921,T221,41.659112,-87.53869300000001
929,T009GAS,41.992478000000006,-87.862995
937,T900,41.974689,-87.890615
945,T903,41.957799,-87.930995
953,T090A,41.690422999999996,-87.656929
961,T090B,41.868533,-87.661638
969,T090C,41.675876,-87.651515
977,T200A,41.731929,-87.54854
985,T128A,41.738583,-87.56772600000001
993,T200B,41.646541,-87.543762
1001,T218A,41.95477,-87.73089
1009,T218C,41.933652,-87.738416
1017,T218B,41.94828,-87.74134000000001
1025,T222,41.925197999999995,-87.746381
1033,T223,41.973845000000004,-87.805059
1041,T225,41.743402,-87.731435
1049,T227,41.728495,-87.60096300000001
1057,T224,41.947227000000005,-87.67145699999999
1065,T226,41.793818,-87.654234
1073,T229,41.753411,-87.63981700000001
1081,T230,41.904194,-87.756155
1089,T228,41.951865999999995,-87.72505699999999
1097,T035GAS,41.763733,-87.742302
1105,T231,41.98728,-87.666066
1113,T232,41.912563,-87.66805500000001
1121,T002A,41.965571000000004,-87.78197800000001
1129,T002B,41.951878,-87.789234
1137,T233,42.009876,-87.807277
1145,T234,41.942285,-87.761726
1153,T235,41.776428,-87.627096
1161,T236,41.994679,-87.770899
1169,T237,41.738903,-87.69544300000001
1177,T238,41.753391,-87.707394
1185,T065A,41.777689,-87.749149
1193,T094B,41.71914,-87.669539
1201,T054C,41.925652,-87.63359
