year,week,NumMosquitos
2007,22,40
2007,23,127
2007,26,301
2007,27,240
2007,28,1103
2007,29,1540
2007,30,4316
2007,31,10006
2007,32,6473
2007,33,11131
2007,34,7657
2007,35,4748
2007,36,4056
2007,37,1193
2007,38,2148
2007,39,1903
2007,40,1373
2007,41,333
2009,21,190
2009,22,1268
2009,23,1204
2009,24,1046
2009,25,2969
2009,26,903
2009,27,1715
2009,28,3262
2009,29,1215
2009,30,2641
2009,31,878
2009,32,602
2009,34,866
2009,35,129
2009,37,1306
2009,38,702
2009,39,212
2011,23,429
2011,24,830
2011,25,846
2011,26,1944
2011,28,4588
2011,30,3857
2011,31,1065
2011,32,824
2011,33,589
2011,34,490
2011,35,870
2011,37,1555
2011,38,728
2011,39,184
2013,22,360
2013,23,1670
2013,24,1319
2013,25,1362
2013,27,6629
2013,28,4168
2013,29,1974
2013,30,2865
2013,31,3188
2013,32,1946
2013,33,2063
2013,34,2645
2013,35,2510
2013,36,2210
2013,37,1030
2013,38,505
